Cards,high card,pair,two pair,three of a kind,straight,flush,full house,four of a kind,straight flush
As Qs Qh Js,0,3443,3793,801,357,1010,551,23,22
As Ah Ks 4h,0,4169,4174,819,78,206,530,24,0
As Qs Js 6h,2411,4339,1469,254,403,1021,69,2,32
As Js 0d 8c,2328,4619,1519,242,1121,97,71,3,0
As Jh 8c 4c,2934,4848,1589,259,203,112,52,3,0
As Ah Ks Qd,0,4073,4013,818,427,80,559,29,1
As Jh 0d 3c,2699,4934,1525,275,501,0,66,0,0
As Jh 8c 7c,2758,4778,1539,247,514,105,55,1,3
Ah Ks Kh 5h,0,3724,3831,802,63,1028,527,25,0
8s 8c 7c 4d,0,3953,4112,826,455,95,521,33,5
As Ah Kh 7c,0,4421,4095,815,39,97,511,22,0
As Jh 0d 9c,2430,4506,1572,292,1136,0,62,2,0
Ks Qs Js Jd,0,3274,3685,771,638,1023,528,30,51
Js Jh 0d 8c,0,3804,4040,773,830,0,525,28,0
8s 8c 6s 2c,0,4140,4114,859,137,209,509,30,2
0c 7h 7c 4c,0,3626,3825,781,102,1079,554,31,2
0s 8s 7c 6s,1559,3387,1353,221,2424,957,64,3,32
As Ks Qs 7h,2406,4316,1507,253,338,1072,70,1,37
Kc 8s 8c 6s,0,4137,4120,831,121,228,529,34,0
Kd 8c 7c 6s,2309,4547,1564,274,1116,118,64,3,5
As Ah Kh 9h,0,3727,3764,827,34,1040,571,36,1
As Ks Kh Js,0,3483,3745,788,354,1032,530,43,25
As Qs Js 8s,1102,2540,1136,171,379,4556,68,1,47
As Kh Qs Js,1720,3520,1335,249,2065,1020,59,1,31
8c 7c 6s 2c,2051,4185,1517,252,892,1022,77,3,1
0s 8c 7c 6s,1830,3629,1372,225,2705,174,58,3,4
As Ks Js 8c,2452,4319,1494,261,367,1025,56,2,24
As Ah Kh Jd,0,4080,4051,794,397,100,545,33,0
As Ks Jh 8c,2746,4813,1580,261,433,89,77,0,1
As Ks Kh 5s,0,3662,3896,777,62,1042,529,30,2
Ah Ks Kh 2s,0,4205,4142,836,58,202,526,31,0
8s 8c 7c 4h,0,4089,4055,763,441,82,541,26,3
Kc 7c 4c 3h,2311,4520,1435,265,373,1031,64,0,1
8s 8c 7c 6c,0,3055,3656,711,944,972,544,27,91
Ks Qs Js 7c,2268,4223,1468,255,648,1022,59,3,54
Kc 7c 4c 2c,1264,2651,1062,193,43,4711,71,1,4
8s 7d 7c 6s,0,3514,3948,765,1101,107,526,37,2
0s 0c 7c 4c,0,3588,3876,775,126,1046,563,22,4
Ah Ks Kh 0c,0,4076,4036,833,367,97,564,26,1
As Ah Ks Qs,0,3443,3855,776,336,968,570,32,20
As Kc 7c 4c,2423,4542,1482,260,125,1112,54,1,1
As Jh 0d 0c,0,4005,4110,816,489,0,555,25,0
Jc 8c 7c 6s,2023,4141,1492,261,909,1068,77,4,25
As Ah Ac Ks,0,0,0,5966,33,102,3300,599,0
Kc 0c 7s 7c,0,3669,3858,733,116,1087,509,24,4
As Ks Js Jc,0,3428,3816,769,343,1043,547,24,30
Ks Qs Js 9h,1774,3526,1393,192,2015,995,57,2,46
9d 8s 7c 6s,1286,2909,1195,216,4228,106,54,5,1
Ah Ks Kh 7d,0,4250,4198,850,44,81,542,35,0
As Jh 0d 2h,2770,4678,1592,264,517,105,74,0,0
As Ks Kh 2c,0,4322,4124,824,87,89,522,32,0
As Ah Kh Qd,0,4072,4018,812,433,102,534,29,0
As Ks Kh 6c,0,4328,4178,859,39,79,490,27,0
8s 8c 6s 4h,0,4011,4074,804,455,82,550,24,0
As Qs Js 8h,2225,4263,1533,243,632,1012,60,0,32
As Ad Ks Kh,0,0,7566,0,31,85,2285,33,0
Kc 0c 6s 4c,2493,4502,1441,279,171,1043,67,3,1
Ks Qs Js 4d,2226,4314,1451,239,660,998,71,2,39
Kc 9s 7c 4c,2471,4474,1497,271,153,1066,65,3,0
Kh Jh 0d 8c,2403,4492,1534,310,1112,85,60,3,1
As 0c 7c 4c,2412,4519,1456,266,194,1086,60,4,3
As Ks Js 4s,1234,2553,1074,172,195,4663,67,3,39
Ks Qs Qd Js,0,3275,3703,723,656,1006,545,32,60
Qs 8c 7c 6s,2259,4560,1506,297,1111,206,57,3,1
Kc 0c 7c 4c,1204,2622,1098,196,111,4700,64,2,3
As Qs Js 2h,2368,4306,1506,266,411,1047,74,0,22
8s 7c 6s 5d,1297,2912,1198,201,4218,106,65,2,1
As 0d 8c 5c,2823,4946,1596,280,206,86,61,1,1
9c 8s 8c 6s,0,3702,3967,826,774,183,521,21,6
Kc 0d 0c 7c,0,3609,3822,791,131,1099,520,23,5
